year,anomaly
1880,0.51
1881,0.6
1882,0.58
1883,0.52
1884,0.41
1885,0.35
1886,0.37
1887,0.32
1888,0.51
1889,0.58
1890,0.33
1891,0.47
1892,0.42
1893,0.38
1894,0.38
1895,0.46
1896,0.57
1897,0.58
1898,0.41
1899,0.51
1900,0.6
1901,0.53
1902,0.41
1903,0.32
1904,0.22
1905,0.43
1906,0.47
1907,0.3
1908,0.26
1909,0.2
1910,0.25
1911,0.24
1912,0.32
1913,0.34
1914,0.54
1915,0.55
1916,0.33
1917,0.23
1918,0.39
1919,0.41
1920,0.41
1921,0.5
1922,0.41
1923,0.42
1924,0.42
1925,0.47
1926,0.58
1927,0.47
1928,0.49
1929,0.33
1930,0.53
1931,0.6
1932,0.53
1933,0.4
1934,0.56
1935,0.49
1936,0.54
1937,0.66
1938,0.69
1939,0.67
1940,0.81
1941,0.87
1942,0.75
1943,0.78
1944,0.89
1945,0.78
1946,0.62
1947,0.66
1948,0.58
1949,0.58
1950,0.51
1951,0.62
1952,0.7
1953,0.77
1954,0.56
1955,0.55
1956,0.5
1957,0.74
1958,0.75
1959,0.72
1960,0.67
1961,0.75
1962,0.72
1963,0.74
1964,0.49
1965,0.58
1966,0.63
1967,0.67
1968,0.61
1969,0.74
1970,0.72
1971,0.61
1972,0.7
1973,0.85
1974,0.62
1975,0.68
1976,0.59
1977,0.87
1978,0.76
1979,0.85
1980,0.95
1981,1.01
1982,0.83
1983,1.0
1984,0.85
1985,0.81
1986,0.87
1987,1.01
1988,1.08
1989,0.96
1990,1.14
1991,1.09
1992,0.91
1993,0.92
1994,1.0
1995,1.13
1996,1.02
1997,1.15
1998,1.3
1999,1.07
2000,1.08
2001,1.22
2002,1.32
2003,1.3
2004,1.22
2005,1.37
2006,1.33
2007,1.35
2008,1.23
2009,1.35
2010,1.41
2011,1.3
2012,1.33
2013,1.37
2014,1.44
2015,1.59
2016,1.7
2017,1.61
2018,1.54
2019,1.67
2020,1.7
2021,1.54
2022,1.58
2023,1.86
2024,1.98
2025,1.88
